id,name,X,Y
7986,Basilico,"524642","176615"
7997,Burger King Ltd,"558617","179060"
7998,Karwan,"512250","179378"
8000,The Star at Sidcup Place,"546210","171296"
8001,Global V I P's Ltd,"529987","180812"
8006,Le Verde,"536199","180844"
8016,Beefeater Grill,"555675","175488"
8020,Giraffe,"533585","181839"
8080,Tate Britain Restaurant,"530103","178554"
8096,Brasserie Blanc,"530943","180170"
8097,Pizza GoGo,"525804","181330"
8103,Aqua Spirit,"529096","181115"
8113,Domino's Pizza,"532723","197887"
8146,Long House Bromley Ltd,"540514","170308"
8182,Wasabi,"532232","181143"
8195,Sticky Rice,"538359","184650"
8222,Yoe Bo,"538808","184530"
8237,Pilpel,"532029","181273"
8238,Siracusa Restaurant,"517414","177324"
8247,Yo! Sushi,"530795","180218"
8251,Gourmet Burger Kitchen,"538263","184554"
8257,Abokado,"532742","182294"
8266,Papa John's Ltd,"535507","198415"
8271,Bumpkin,"538350","184639"
8290,Big Moes Diner,"544383","182958"
8319,Gourmet Burger Kitchen,"532511","180403"
8327,Dishoom,"533514","182381"
8346,Invicta Spice,"554210","174402"
8348,itsu,"529368","182063"
8413,Spaccanapoli,"529972","181322"
8417,J W Steakhouse,"528164","180538"
8422,China City,"543634","178865"
8448,Amaranto Restaurant,"528510","180019"
8474,Panna's Restaurant,"548621","190360"
8480,Rodizio Lebanon,"525240","177302"
8483,Indo Fine Indian Dining,"503856","166503"
8522,Cosmo,"551227","188507"
8590,A Tasca,"530222","177272"
8600,Shawarma Express,"521572","180925"
8602,Del Aziz,"529251","175458"
8619,T G I Friday's,"534067","196439"
8620,Gourmet Burger Kitchen,"539235","180169"
8626,Snax,"529603","179366"
8628,Tortilla,"537395","180408"
8641,Wasabi,"531050","179884"
8642,Firezza,"537775","179353"
8656,Haz Restaurant,"533178","180877"
8671,O12 Bar & Grill,"539004","184568"
8672,Oddono's Gelati,"526441","185752"
8673,Crystal Kebab,"530345","183014"
8676,Wasabi,"530656","181098"
8691,Papa Bruno,"529984","179071"
8699,Ping Pong,"533787","180616"
8704,Ed's Easy Diner,"528632","181082"
8721,Zarana,"553760","187241"
8743,Bishopsgate Kitchen,"533386","181735"
8750,The Tea Bar,"525764","177348"
8785,The Real Greek,"533608","181852"
8791,Seawise Camden Stables Market,"528514","184227"
8794,Meshwi,"534411","182643"
8799,Fiore Rosso,"515306","189648"
8806,Abi Fast Food,"511987","180532"
8821,Ockendon Chef,"558558","181419"
8906,The Two Rivers,"503524","171608"
8930,La Rustica,"536326","177877"
8972,E V Restaurant,"531557","180086"
8977,Pod Food,"532786","182397"
9000,Atis Restaurant,"533816","189813"
9006,The Russian in UK Ltd,"530612","176706"
9059,Birley's,"537640","180218"
9104,Curry Ono,"531140","175357"
9106,Busaba Leicester Square,"529786","180618"
9129,Byward Kitchen & Bar,"533409","180666"
9142,Mountview Trading Ltd,"512787","191156"
9186,Baskin Robbins,"512788","191140"
9195,Real Taste,"537342","181214"
9207,Burger King Ltd,"557549","174972"
9218,Hawksmoor,"530161","181050"
9225,Marco Polo Italian Restaurant & Delicatessen,"525225","175236"
9227,Subway,"537708","179821"
9228,Carluccio's,"530190","180835"
9230,Galu Mediterranean Bar & Grill,"524496","160130"
9235,Pizza Da Vinci,"528210","175660"
9277,Pizza Express,"558660","178997"
9301,Imperial China,"513730","197147"
9307,Carluccio's,"509973","166243"
9370,Upper Crust,"526556","181417"
9427,The English Restaurant,"533550","181756"
9433,Hospital Kosher Meals Service,"524662","187589"
9439,Frankie & Benny's,"530624","166010"
9469,Royal Opera House Restaurant,"530373","181009"
9476,Grannys Caribbean Take Away,"531018","187270"
9511,Italian Express,"524004","182051"
9541,J R C Global Buffet,"530558","165944"
9550,Cafe Rouge,"533814","180606"
9554,National Dining Rooms,"530032","180569"
9594,Zizzi,"539263","180169"
9624,Pizza Express,"532367","181226"
9717,Bottega Prelibato,"533191","182544"
9739,Orient Pizza,"538400","185840"
9813,Pizza Hut,"551543","187764"
9864,The Japanese Canteen,"533393","181173"
9871,Red Planet Pizza,"515621","175422"
9873,Subway,"540777","180752"
9922,Subway,"510574","173115"
9924,Fairways Carvery Within Uxbridge Golf Club,"506167","186793"
9949,Pizza Hut,"526560","191118"
9962,Rodizio Rico at O2,"539151","180112"
9965,K F C Ltd,"523024","200242"
9976,Flavours,"530602","169786"
9980,Lemongrass Kitchen,"537708","179821"
10001,Nando's,"510005","166241"
10041,Burger King Ltd,"523024","200242"
10043,Square Sandwich,"526877","176679"
10049,Burger King Ltd,"550276","189355"
10054,Burger King Ltd,"526692","170195"
10065,Burger King Ltd,"523538","180350"
10066,Nando's,"533694","181959"
10069,Tortilla,"532033","180255"
10085,Spicy Tandoori Takeaway,"542287","195647"
10092,Gourmet Burger Kitchen,"523542","180237"
10101,Burger King Ltd,"549084","175204"
10112,Subway,"520731","171470"
10118,McDonald's Restaurant,"557984","178823"
10151,Subway,"558316","178814"
10157,Pizza Express,"522501","165820"
10173,Day of the Raj Express,"524219","191214"
10198,La Labodeguita,"531994","179004"
10200,McDonald's Restaurant,"544264","181727"
10206,Pizza Express,"528829","182140"
10226,Daddy Donkey Mexican Grill,"531222","181999"
10257,Gourmet Burger Kitchen,"509996","166242"
10266,Doost,"531210","178189"
10286,Vietnamese Kitchen,"533456","182872"
10301,Spice 6 Restaurant,"523424","184912"
10302,Giraffe,"558504","178901"
10308,The Dartford Bridge,"555834","173341"
10318,Subway,"538224","177718"
10332,Miller & Carter,"521681","166516"
10333,The Earl Haig,"548761","177059"
10428,Dragon King Oriental Buffet,"519437","182094"
10508,Debenhams Restaurant,"505813","184028"
11193,Cafe Caribbean,"533657","181869"
11286,Chat House,"532471","164423"
11294,Thali Ho,"517682","167174"
11295,Maze Restaurant,"528398","180896"
11827,Roti Masters,"532434","165473"
11851,Classic Fine Foods,"521281","181573"
11950,Papa John's Ltd,"525381","170461"
11997,Wokpapa,"527625","164245"
12043,Crazy Bear Group,"530110","181027"
12061,Harry's Bar,"532730","180897"
12094,Nando's,"511036","185709"
12120,Preto,"529740","180910"
12776,itsu,"533315","181751"
12796,Sichuan Restaurant,"539832","178773"
12999,Mascalzone,"519402","191790"
13014,Kitchn N 1,"530391","183085"
13015,The Emporer Hersham Ltd,"511585","164137"
13021,Gourmet Burger Kitchen,"533327","180645"
13022,Chat House Tandoori Restaurant,"532471","164423"
13023,Indigo Street Food,"533761","182364"
13037,South Mimms Truck Stop,"522895","200562"
13270,Frankie & Benny's,"510846","172825"
13271,The Stag & Hounds,"520571","179255"
13273,Giraffe,"530795","180218"
13275,Ognisko Restaurant,"526844","179376"
13277,Harvey Nichols Fifth Floor Restaurant,"527824","179677"
13278,Nando's,"525608","174375"
13279,Busaba Soho,"529577","181084"
13280,Wood Street Bar & Restaurant,"532409","181708"
13282,Kiss Me Hardy,"526660","170165"
13286,Pizza Hut,"534145","196418"
13287,Zizzi,"557795","173666"
13288,La Rugoletta,"526736","189843"
13289,Prezzo Restaurants Plc,"528879","152856"
13292,The Gate,"508160","191866"
13294,Raj Tandoori Restaurant,"558493","181506"
13295,The Cinnamon Club,"529929","179270"
13296,King's Garden,"557259","163693"
13297,Masala Zone,"529326","181034"
13298,Mantra Cuisine,"512608","175921"
13299,Randys Fish Bar,"512326","179223"
13300,Frankie & Benny's,"529151","181125"
13301,K F C Ltd,"510249","172499"
13302,Chinastar,"547233","162706"
13304,Dockland Diner,"537101","180566"
13305,McDonald's Restaurant,"548772","187334"
13306,River View,"535170","180363"
13308,Melbourne,"525982","163774"
13310,Bombay Brasserie,"526269","178772"
13311,Churreria Espanola,"525766","181231"
13314,Frankie & Benny's,"511053","200490"
13315,McDonald's Restaurant,"525610","174362"
13316,Riverside Restaurant Within Mitre Hotel,"515384","168596"
13322,McDonald's Restaurant,"524034","175373"
13324,Xin Hyatt,"530132","164863"
13325,Hot Spot Fish Bar - Heathrow,"508773","177441"
13327,Retsina & Mousaka,"517045","180514"
13334,McDonald's Restaurant,"553883","190172"
13335,Burger King Ltd,"538689","184407"
13336,McDonald's Restaurant,"534350","196554"
13340,Chicken Land,"515468","185624"
13342,Mews of Mayfair,"528783","180932"
13343,Lotus Floating Chinese Restaurant,"537801","179428"
13344,Chelsea Bun,"526616","177604"
13345,Roshni's,"503274","171560"
13346,Jin Jin,"517863","169116"
13347,Gabeto,"528574","184192"
13349,Saigon Restaurant,"514454","175927"
13350,Texture Restaurant,"527981","181218"
13351,Nando's,"530591","165961"
13352,Zara Restaurant,"527250","185537"
13353,Jam Rock Caribbean Restaurant,"532411","168426"
13354,El Gaucho,"526763","178776"
13355,Carluccio's,"524216","175560"
13357,Silver Dollar Restaurant,"513037","187640"
13365,Crown Chicken & Pizza Takeaway,"536979","187546"
13366,Chalk Farm,"528117","184427"
13367,Vine Restaurant,"553040","155388"
13369,Radici,"531649","184029"
13370,Frankie & Benny's,"544412","164562"
13384,Happy Days,"533661","181501"
13385,Super Fry Fish Bar,"543816","177740"
13386,Bistrotheque,"534918","183476"
13388,Ruchi's,"532533","162584"
13390,Star of Spice,"543820","177832"
13391,New Dewaniam,"531977","177114"
13392,Il Vicolo,"529354","180180"
13393,Metro Paizza Restaurant,"522895","191081"
13394,Sidi Maarouf,"527620","181152"
13395,Pizza Express,"510045","166236"
13396,ASK Restaurants,"528490","181339"
13397,Toby Carvery,"532867","199488"
13398,Mayfair Pizza Co,"528753","180946"
13400,Stein's,"517939","174321"
13402,Pizza Hut,"538229","186024"
13403,Mexican Fresh,"525821","172411"
13404,The Comodor,"506412","161094"
13405,Pizza Hut,"510936","172747"
13406,Nando's,"530231","172285"
13407,Chixy's,"509788","179911"
13408,Mayfair Pasta & Sandwich Bar,"528554","180991"
13410,Le Gothique,"526932","174282"
13411,Fratelli Within Marriott Maida Vale Hotel,"525626","183420"
13412,Tom Bell Traditional Fish & Chips,"542045","158711"
13413,K F C Ltd,"517395","182830"
13414,Kebab Express,"519567","166136"
13415,Pakora,"508364","186791"
13416,Ultimate Pizza,"537976","176810"
13417,K F C Ltd,"538219","186020"
13419,K F C Ltd,"519330","182106"
13420,Golden Dragon,"531282","173406"
13421,Alperton Sandwich Bar,"518043","183802"
13422,China Blue,"529904","159690"
13423,Beldan Take Away Food Shops,"536242","183239"
13424,Dg's Sandwich Bar,"531231","180034"
13428,Harvester Grays,"560015","179742"
13429,Domino's Pizza,"516178","180314"
13430,Wimpy Restaurants Group Ltd,"537084","169368"
13431,Seabass Restaurant Ltd,"528420","181235"
13432,Cafe Brera,"537399","180327"
13435,Harvester Garston,"511682","200760"
13436,Harvester Croxley Green,"508676","195916"
13437,Angus Steak House,"528619","181118"
13439,Miller & Carter,"515506","191785"
13440,Wimpy Restaurants Group Ltd,"558688","178880"
13441,Foot Stool,"530111","179111"
13442,The Gallery,"533808","180389"
13443,Belvedere,"524744","179630"
13444,Golden City,"509213","154295"
13445,Roast Restaurant,"532570","180247"
13450,T G I Friday's,"557946","173399"
13453,Burger King Ltd,"510891","172787"
13454,Fatboys Diner Ltd,"539452","180742"
13455,McDonald's Restaurant,"551540","177750"
13457,Frankie & Benny's,"518370","169478"
