id,NightEconomy_10m_None,HousingDensity_10m_None,GreenSpace_10m_None,BuildingHeights_10m_None,SpaceSyntax_10m_choice_ASA216_T10,Supermarkets_10m (1)_id_count,noise sum_10m_NoiseClass10m,Test_intergration_None,BuilingArea_10m_None
410,,2.458,,,,,,,
411,,2.458,,,,,,,
412,,2.458,,,,,,,
413,,2.458,,,,,,,
414,,2.458,,,,,,,
415,,2.458,,,,,,,
416,,2.458,,,,,,,
417,,2.458,,,,,,,
418,"2",2.458,,,,,,,
419,"2",2.458,,26.182122901,,,,,"2.0"
420,"2",2.458,,26.182122901,,,,,"13.0"
421,"2",2.458,,,,,,,
422,"2",2.458,,,,,,,
423,"2",2.458,,,,,,,
424,"2",2.458,,,,,,,
425,"2",2.458,,,"0",,,305.1243,
426,"2",2.458,,,,,,,
427,"2",2.458,,,,,,,
428,"2",2.458,,,,,,,
429,"2",2.458,,,,,,,
430,"2",2.458,,,,,,,
431,"2",2.458,,,,,,,
432,"2",2.458,,,,,,,
433,"2",2.458,,,,,,,
434,"2",2.458,,,,,,,
435,"2",2.458,,,,,,,
436,"2",2.458,,,,,,,
437,"2",2.458,,,,,,,
438,"2",2.458,,,,,,,
439,"2",2.458,,,,,,,
440,"2",2.458,,,,,,,
441,"2",2.458,,,,,,,
442,"2",2.458,,,,,,,
443,"2",2.458,,,,,,,
444,"2",2.458,,,,,,,
445,"2",2.458,,,,,,,
446,"2",2.458,,,,,,,
447,"2",2.458,,,,,,,
448,"2",2.458,,,,,,,
449,"2",2.458,,,,,,,
450,"2",2.458,,,,,,,
451,"2",2.458,,,,,,,
452,"2",2.458,,,,,,,
453,"2",2.458,,,,,,,
454,"2",2.458,,,,,,,
455,"2",2.458,,,,,,,
456,,2.458,,,,,,,
457,,2.458,,,,,,,
458,,2.458,,,,,,,
459,,2.458,,,,,,,
460,,2.458,,,,,,,
461,,2.458,,,,,,,
462,,2.458,,,,,,,
463,,2.458,,,,,,,
464,,2.458,,,,,,,
465,,2.458,,,,,,,
466,,2.458,,,,,,,
467,,2.458,,,,,,,
468,,2.458,,,,,,,
469,,2.458,,,,,,,
470,,2.458,,,,,,,
471,,2.458,,,,,,,
472,,2.458,,,,,,,
473,,2.458,,,,,,,
474,,2.458,0,,,,,,
475,,2.458,9,,,,,,
476,,2.458,20,,,,,,
477,,2.458,31,,,,,,
478,"505",2.458,42,,,,,,
479,"505",2.458,53,,,,,,
480,"505",2.458,64,,,,,,
481,"505",2.458,74,,,,,,
482,"505",2.458,78,,,,,,
483,"505",2.458,81,,,,,,
484,"505",2.458,84,,,,,,
485,"505",2.458,88,,,,,,
486,"505",2.458,91,,,,,,
487,"505",2.458,33,,,,,,
488,"505",2.458,,,,,,,
489,"505",2.458,,22.1529483734,,,,,"6.0"
490,"505",2.458,,22.1529483734,,,,,"0.0"
491,"505",2.458,,22.1529483734,,,,,"24.0"
492,"505",2.458,,22.1529483734,,,,,"17.0"
493,"505",2.458,,22.1529483734,,,,,"1.0"
494,"540",2.458,,16.8429442021,,,,,"42.0"
495,"540",2.458,,16.8429442021,,,,,"46.0"
496,"540",2.458,,16.8429442021,,,,,"48.0"
497,"540",2.458,,16.8429442021,,,,,"50.0"
498,"540",2.458,,16.8429442021,,,,,"52.0"
499,"540",2.458,,16.8429442021,,,,,"55.0"
500,"540",2.458,,16.8429442021,,,,,"57.0"
501,"540",2.458,,16.8429442021,,,,,"50.0"
502,"540",2.458,,,,,,,
503,"540",2.458,,,,,,,
504,"540",2.458,,,,,,,
505,"540",2.458,,,,,,,
506,"540",2.458,,,,,,,
507,"540",2.458,,,,,,,
508,,2.458,,,,,,,
509,,2.458,,,,,,,
510,,2.458,,,,,,,
511,,2.458,,,,,,,
512,,2.458,,,,,,,
513,,2.458,,,,,,,
514,,2.458,,,,,,,
515,,2.458,,,,,,,
516,,2.458,,,,,,,
517,,2.458,,,,,,,
518,,2.458,,,,,,,
519,,2.458,,,,,,,
520,,2.458,,,,,,,
521,,2.458,,,,,,,
522,,2.458,,,,,,,
523,,2.458,,,,,,,
524,,2.458,,,,,,,
525,,2.458,,,,,,,
526,,2.458,,,,,,,
527,,2.458,,,,,,,
528,,2.458,,,,,,,
529,,2.458,,,,,,,
530,,2.458,,,,,,,
531,,2.458,,,,,,,
532,,2.458,,,,,,,
533,,2.458,,,,,,,
534,,2.458,,,,,,,
535,,2.458,,,,,,,
536,,2.458,,,,,,,
537,,2.458,,,,,,,
538,,2.458,,,,,,,
539,,2.458,,,,,,,
540,,2.458,,,,,,,
541,,2.458,,,,,,,
542,,2.458,,,,,,,
543,,2.458,,,,,,,
544,,2.458,,,,,,,
545,,2.458,,,,,,,
546,,2.458,,,,,,,
547,,2.458,,,,,,,
548,,2.458,,,,,,,
549,,2.458,,,,,,,
550,,2.458,,,,,,,
551,,2.458,,,,,,,
552,,2.458,,,,,,,
553,,2.458,,,,,,,
554,,2.458,,,,,,,
555,,1.774,,,,,,,
556,,1.774,,,,,,,
557,,1.774,,,,,,,
558,,1.774,,,,,,,
559,,1.774,,,,,,,
560,,1.774,,,,,,,
561,,1.774,,,,,,,
562,,1.774,,,,,,,
563,,1.774,,,,,,,
564,,1.774,,,,,,,
565,,1.774,,,,,,,
566,,1.774,,,,,,,
567,,1.774,,,,,,,
568,,1.774,,,,,,,
569,,1.774,,,,,,,
570,,1.774,,,,,,,
571,,1.774,,,,,,,
572,,1.774,,,,,,,
573,,1.774,,,,,,,
574,,1.774,,,,,,,
575,,1.774,,,,,,,
576,,1.774,,,,,,,
577,,1.774,,,,,,,
578,,1.774,,,,,,,
579,,1.774,,,,,,,
580,"290",1.774,,,,,,,
581,"290",1.774,,,,,,,
582,"290",1.774,,,,,,,
583,"290",1.774,,,,,,,
584,"290",1.774,,,,,,,
585,"290",1.774,,,,,,,
586,"290",1.774,,,,,,,
587,"290",1.774,,,,,,,
588,"290",1.774,,,,,,,
589,"290",1.774,,,,,,,
590,"290",1.774,,,,,,,
591,"290",1.774,,,,,,,
592,"290",1.774,,,,,,,
593,"290",1.774,,,,,,,
594,"290",1.774,,,,,,,
595,"290",1.774,,,,,,,
596,"290",1.774,,,,,,,
597,"290",1.774,,12.8790274727,,,,,"34.0"
598,"290",1.774,,12.8790274727,,,,,"100.0"
599,"290",1.774,,12.8790274727,,,,,"100.0"
600,"290",1.774,,12.8790274727,,,,,"100.0"
601,"265",1.142,,9.91836055474,,,,,"0.0"
602,"265",1.142,,,,,,,
603,"265",1.142,,9.91836055474,,,57.5,,"8.0"
604,"265",1.142,,9.91836055474,,,57.5,,"29.0"
605,"265",1.142,,9.91836055474,,,57.5,,"61.0"
606,"265",1.142,,9.91836055474,,,57.5,,"82.0"
607,"265",1.142,,9.91836055474,"5946",,,539.80151,"19.0"
608,"265",1.142,,,"5946",,,539.80151,
609,"265",1.142,,,,,67.5,,
610,"265",1.142,,,,,67.5,,
611,"265",1.142,,,,,67.5,,
612,"265",1.142,,,,,67.5,,
613,"265",1.142,,,"700584",,,901.36847,
614,"265",1.142,,,,,,,
615,"265",1.142,,10.3025125666,,,67.5,,"34.0"
616,"265",1.142,,10.3025125666,,,67.5,,"99.0"
617,"265",1.142,,10.3025125666,,,,,"4.0"
618,"265",1.142,,,,,,,
619,"265",1.142,,,,,,,
620,"265",1.142,,15.9389804268,,,62.5,,"37.0"
621,"265",1.142,,15.9389804268,,,67.5,,"54.0"
622,"265",1.142,,15.7997986244,,,67.5,,"53.0"
623,"265",1.142,,15.7997986244,,,,,"15.0"
624,"265",1.142,,,"666852",,,837.24567,
625,"265",1.142,,,"666852",,,837.24567,
626,"455",1.142,,,,,,,
627,"455",1.142,,,,,,,
628,"455",1.142,,,"27072",,67.5,642.41986,
629,"455",1.142,,9.86987047952,,,67.5,,"21.0"
630,"455",1.142,,9.86987047952,,,67.5,,"22.0"
631,"455",1.142,,9.86987047952,,,67.5,,"21.0"
632,"455",1.142,,9.86987047952,"7259",,67.5,694.53748,"20.0"
633,"455",1.142,,9.86987047952,"7259",,67.5,649.81952,"23.0"
634,"455",1.142,,6.57123478169,"7259",,62.5,649.81952,"37.0"
635,"455",1.142,,6.57123478169,"7259",,62.5,649.81952,"22.0"
636,"455",1.142,,,"7259",,62.5,649.81952,
637,"455",1.142,,6.57123478169,"7259",,62.5,649.81952,"44.0"
638,"455",1.142,,8.88361243875,"7259",,57.5,649.81952,"45.0"
639,"455",1.142,,8.88361243875,"98302",,62.5,649.81952,"1.0"
640,"455",1.142,,,"28281",,62.5,620.9079,
641,"455",1.142,,15.5817539877,,,62.5,,"32.0"
642,"455",1.142,,15.5817539877,,,62.5,,"63.0"
643,"455",1.142,,15.5817539877,,,62.5,,"98.0"
644,"455",1.142,,15.5817539877,,,67.5,,"86.0"
645,"455",1.142,,15.5817539877,,,72.5,,"48.0"
646,"455",1.142,,15.5817539877,"205965",,72.5,652.12433,"8.0"
647,"455",2.458,,,"205965",,72.5,652.12433,
648,"455",2.458,,,"205965",,72.5,652.12433,
649,"455",2.458,,,"173588",,72.5,627.88531,
650,"455",2.458,,,"42495",,72.5,627.88531,
651,"455",2.458,,13.5301849069,"168807",,72.5,606.86987,"0.0"
652,"2",2.458,,13.5301849069,,,72.5,,"4.0"
653,"2",2.458,,5.38468607949,,,72.5,,"53.0"
654,"2",2.458,,5.38468607949,,,72.5,,"74.0"
655,"2",2.458,,5.38468607949,,,72.5,,"84.0"
656,"2",2.458,,5.38468607949,,,72.5,,"95.0"
657,"2",2.458,,5.38468607949,,,72.5,,"100.0"
658,"2",2.458,,5.38468607949,,,72.5,,"97.0"
659,"2",2.458,,5.38468607949,,,62.5,,"82.0"
660,"2",2.458,,5.38468607949,,,62.5,,"67.0"
661,"2",2.458,,5.38468607949,,,62.5,,"73.0"
662,"2",2.458,,5.38468607949,,,62.5,,"98.0"
663,"2",2.458,,5.38468607949,,,62.5,,"13.0"
664,"2",2.458,,,,,62.5,,
665,"2",2.458,,,"3835",,,462.67151,
666,"2",2.458,,,"3835",,,462.67151,
667,"2",2.458,,39.4637212686,,,,,"11.0"
668,"2",2.458,,39.4637212686,"166033",,72.5,548.27631,"22.0"
669,"2",2.458,,39.4637212686,"166033",,72.5,548.27631,"13.0"
670,"2",2.458,,39.4637212686,"166033",,,548.27631,"0.0"
671,"2",2.458,,,"166033",,,548.27631,
672,"2",2.458,,,"16084",,,485.86993,
673,"2",2.458,,,"10305",,,508.70938,
674,"2",2.458,,,"13553",,,469.3465,
675,"2",2.458,,,"13553",,62.5,469.3465,
676,"2",2.458,,,"13553",,62.5,469.3465,
677,"2",2.458,,3.53949194106,"5715",,62.5,434.60056,"11.0"
678,"2",2.458,,3.53949194106,,,62.5,,"41.0"
679,"2",2.458,,,,,62.5,,
