code,name,half_densi,air pollution_CO2_all_2019_s,air pollution_NOX_all_2019_s,air pollution_PM25_all_2019_s,BuildingHeights_LSOA_MEAN_mean_mean,GreenSpace_LSOA_Area,flow LSOA_None,HousingDensity_LSOA_Density,population density LSOA_density,restaurants_restaurants,supermarkets_supermarkets,culture LSOA sum_sum,noise LSOA_None
E01002361,Havering 020C,926,40074.71847,46.827585,6.781007,5.395742,533.01,6313.785714,0.002932368,46.8,39,3,2,72.5
E01002362,Havering 022D,763,32642.52999,36.189451,6.259448,5.548277,202.68,5945.7,0.001242861,44.2,5,0,0,72.5
E01002363,Havering 020D,798,26942.31282,30.872402,4.489694,5.714324,3832.79,779.4117647,0.002808412,64.1,1,0,0,
E01002364,Havering 023C,719,20503.14105,23.6156,3.221359,5.173675,,1230.333333,0.002759595,61.3,1,0,0,
E01002365,Havering 023D,689,17849.73345,18.427818,2.794267,5.635047,413351.65,1060,0.003273538,57.7,9,1,1,
E01002366,Havering 023E,733,35245.67653,36.445345,5.392565,5.269256,413351.65,883.3333333,0.003056845,51.8,0,0,0,
E01002367,Havering 020E,830,29988.25846,35.128723,5.066792,5.475051,9392.42,1255.0625,0.002689147,41.5,5,1,1,67.5
E01002368,Havering 028A,858,46273.7376,75.118418,7.189956,5.087947,479.35,21846.63158,0.002660362,12.2,1,0,0,80
E01002369,Havering 028B,959,27702.97992,45.602131,3.682464,4.738368,479.35,5968.666667,0.002919846,39.1,2,0,0,67.5
E01002370,Havering 028C,986,77119.69338,209.375192,21.599922,5.704097,598.73,27498.57692,0.000936494,8,2,0,0,80
E01002371,Havering 028D,837,19600.25025,28.030917,2.864057,4.532854,924.9,13416.75,0.00144909,57.7,5,0,1,67.5
E01002372,Havering 027C,797,17473.70804,24.198728,3.011207,5.365582,2599.77,366.8333333,0.00425673,73.3,1,0,0,
